,series_0,series_1,series_2,series_3,series_4,series_5,series_6,series_7
2015-01-04,50.49671415301123,55.014246691749506,62.06011857637726,64.61579638780948,68.81474360721334,76.38990826206661,84.59411154196175,86.72148359639492
2015-01-11,51.06055809484102,56.33462539269878,65.64196746166341,66.46707043760622,73.5894008726654,76.76104729104983,89.50145873120094,87.17212371896588
2015-01-18,53.21134311693754,59.4188735665471,64.61156519607304,68.08111348566152,76.39612060204844,81.93295713905096,80.17335447576693,96.6015591530022
2015-01-25,55.60405653031408,62.38964501855213,68.06153057564437,71.80181755317989,80.35860091434832,83.92904466455256,85.66007012340901,97.09555103369516
2015-02-01,54.35672612094342,60.624421475401945,70.78074515806328,69.65557803402316,82.14955266838656,82.15636263322342,86.94386721508117,93.11444503321447
2015-02-08,55.38704958148217,66.45461027904602,69.33197966303965,69.29908168628366,81.21565082958452,87.44194656760452,90.32661947529722,94.48487672167046
2015-02-15,59.05428868593713,68.44942225093642,64.96461767581033,69.40786407767763,82.37996680894318,81.75515647053382,86.07036842131892,97.93965152804611
2015-02-22,58.703461843824485,61.86573835034955,64.70953404071857,72.65231358358783,80.55173401412652,79.73245317926997,89.6805257602648,99.81962355722962
2015-03-01,57.62088118481464,62.24985196483716,66.06894705571064,72.69443656215226,80.81823067611424,75.64258281553833,94.14718681925217,90.90366682072356
2015-03-08,59.710379381192965,63.766422046058906,58.06533317226917,77.90280572262577,82.52057069164255,75.81921146155821,88.08968626542223,89.66336590938069
2015-03-15,58.83309334787488,60.97791014223063,55.391568138609955,77.81384689126209,77.82323636237483,67.90496477285258,86.77976205524216,91.02315484525461
2015-03-22,59.245470716493095,60.220915893697814,51.15136531841615,73.4922804338753,77.18692141364238,69.31706027188419,86.7724547388627,91.74807552123669
2015-03-29,60.31800369342275,57.54488120684339,51.799549689046444,74.37253818925213,71.52854090774608,68.12408497136767,92.04387850926481,89.29891493511087
2015-04-05,58.216719755342204,66.8560599375074,50.5281821588295,75.61590114025294,69.71726578603848,66.58576764143864,87.89695966710626,87.85861147347255
2015-04-12,58.54857083693216,66.85676593972146,50.28596005169659,77.08613728014832,68.6914625938672,67.43087292966403,90.38265968146446,81.93139800820657
2015-04-19,59.4277846671143,51.045007148688946,51.76308819969827,75.36631328991425,66.2638989127399,69.28947808916334,91.296535616357,78.53023457698754
2015-04-26,58.833146938952304,48.27720491780688,56.959389606902214,74.42772955351934,63.588630239625594,70.3608203769763,90.66820801040296,80.62377419370817
2015-05-03,59.20949734681436,48.08445270426851,58.170782901272,74.48951211036253,64.60362692108453,76.08116286187052,90.44516463198606,77.30158102189964
2015-05-10,57.926323213096225,45.71204332689973,63.255089962365396,73.51477664728777,61.67850451524018,78.10567633954184,89.67922672761155,75.26262930172192
2015-05-17,56.96380698899426,44.76491904627483,64.94889739763414,73.63957294701828,60.71074414762341,81.77049372376045,89.84565962968698,76.7171144694152
2015-05-24,57.56939408171986,45.574578666011355,69.2572594903961,71.96699439468658,61.17981826854348,84.17854169474751,87.26381871091256,77.35202626623972
2015-05-31,55.77042342090919,46.276696496023035,70.95942970706396,71.16730349907294,61.71879289084427,86.36203145533825,86.57385640632013,77.21934703944832
2015-06-07,54.90697261365015,47.55450246134333,71.36023559615474,71.41618136981869,63.02489398128929,85.7721298540384,85.45968561383496,78.07210064417879
2015-06-14,52.82369208649471,49.34078824131366,69.41525068717364,68.79836257305233,63.02735050069281,85.30165384318735,86.04394056849986,80.02768282389721
2015-06-21,52.21526755162398,51.26858516442861,68.8103570010206,66.91002218475467,67.94121535789792,81.64878052964052,85.17904551382554,81.78916322080147
2015-06-28,51.55301663564264,53.56730017055116,66.73402448290544,67.31408190905557,70.51924733960513,81.58400471214382,83.59093908383399,82.58938073839829
2015-07-05,49.10900642257769,54.88887081966103,60.394052236744834,65.57138457453404,73.35844908085107,77.56611141892529,83.71358986702388,85.86504284911626
2015-07-12,49.485286426208404,65.96673740881154,56.65798555238919,65.61902667987151,74.25327774705845,72.58310473242396,78.57422890345731,90.54537036113497
2015-07-19,47.14663930858998,70.08558141712349,54.42938180778056,64.23545563922787,77.190214414457,69.1815315535072,82.85424007770855,92.56115299208558
2015-07-26,46.35554301240379,62.56782158487557,51.252167251514315,62.55869926647855,76.46641855371614,69.17298281015091,81.72920815948616,94.33165587803626
2015-08-02,44.803464250399756,65.1033859276873,49.91620596037036,61.44075728616888,81.37572161551742,65.37540290752794,79.11408750325928,93.241943766762
2015-08-09,47.347585811441235,62.21417502646113,50.275380025529024,59.15551080698655,81.4174631334637,67.4265437542696,80.67303952344221,96.37735490723225
2015-08-16,43.6685767854676,64.74279942310181,55.81101627963184,59.81090520493657,80.56258466595862,71.29695768419796,71.6425406378688,91.94906513959904
2015-08-23,41.26218207663058,68.72602255593178,56.695363390467875,60.5492212291899,83.38863911973245,69.47846024797562,73.56927604517105,98.02109813243537
2015-08-30,43.317252679743994,65.9220940040732,57.77989253990894,56.27305804275561,82.90630874361024,75.45823042252577,72.42365926073998,100.63482492063537
2015-09-06,39.772228780144445,64.38872244400604,58.09689980073377,57.53553588431651,80.09960709460523,78.97383230351363,75.22481933590218,92.49260511772883
2015-09-13,41.28795225931525,63.38813576450669,63.259372687774615,58.8873193783944,79.24845318989057,81.61281680499144,70.93251469476488,93.18488890894055
2015-09-20,38.245559643795296,63.381002272415735,69.33959547693276,57.58030663400875,74.7172039420246,83.77383108537956,74.37419450356576,93.29671525846669
2015-09-27,38.96579734682623,60.61400164381185,67.63966235552554,58.498921318712256,76.24187274405146,88.67039798567966,75.18816170359875,92.81784025861224
2015-10-04,40.58686123586912,54.042527166956155,71.52159223294235,55.82141497121537,70.69166153675114,86.44364704634955,73.84232464013441,87.35801815228974
